Date Of Stop,Time Of Stop,Agency,SubAgency,Description,Location,Latitude,Longitude,Accident,Belts,Personal Injury,Property Damage,Fatal,Commercial License,HAZMAT,Commercial Vehicle,Alcohol,Work Zone,State,VehicleType,Year,Make,Model,Color,Violation Type,Charge,Article,Contributed To Accident,Race,Gender,Driver City,Driver State,DL State,Arrest Type,Geolocation
5/27/2013,14:13:00,MCP,"6th district, Gaithersburg / Montgomery Village",EXCEEDING MAXIMUM SPEED: 80 MPH IN A POSTED 55 MPH ZONE,NB 270 / MUDDY BRANCH RD,39.09845263,-77.2045743,No,No,No,No,No,No,No,No,No,No,MD,08 - Recreational Vehicle,2012,JEEP,4X4,GRAY,Citation,21-801.1,Transportation Article,Yes,WHITE,F,NEW MARKET,MD,MD,A - Marked Patrol,"(39.0984526333333, -77.2045743)"
5/25/2012,10:39:00,MCP,"3rd district, Silver Spring",DRIVER FAILURE TO STOP AT STOP SIGN LINE,SB BROADBIRCH DR/ PLUM ORCHARD DR,39.05591057,-76.95796452,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2008,FORD,F150,"BLUE, DARK",Citation,21-707(a),Transportation Article,No,WHITE,M,GLEN ARM,MD,MD,A - Marked Patrol,"(39.0559105666667, -76.9579645166667)"
12/6/2012,13:07:00,MCP,"4th district, Wheaton",FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,"E/B RT 108 AT PRINCE PHILLIP DRIVE, OLNE",39.14921818,-77.05659182,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2008,TOYT,RAV 4,GREEN,Citation,16-116(a),Transportation Article,No,ASIAN,M,AMHERST,NY,NY,A - Marked Patrol,"(39.1492181833333, -77.0565918166667)"
11/15/2012,9:50:00,MCP,"6th district, Gaithersburg / Montgomery Village",DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,SHADY FROVE RD & CRABBS BRANCH WAY,39.12860635,-77.16914518,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2004,MITSUBISHI,GALLANT,WHITE,Citation,13-411(d),Transportation Article,No,WHITE,M,GERMANTOWN,MD,MD,A - Marked Patrol,"(39.12860635, -77.1691451833333)"
8/28/2017,23:14:00,MCP,"4th district, Wheaton",DISPLAY SUSPENDED LIC.,NEW HAMPSHIRE AVE @ CANNON RD,39.06993667,-77.00309167,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2006,MERCEDEZ,SUV,BLACK,Citation,16-301(e),Transportation Article,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0699366666667, -77.0030916666667)"
8/29/2017,5:21:00,MCP,"4th district, Wheaton",FAILURE VEH. TO YIELD INTERSECTION RIGHT-OF-WAY TO ANOTHER VEH.,NEW HAMPSHIRE AVE @ EDNOR RD,39.13568167,-76.99487833,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2001,FORD,EXPLORER,BLACK,Citation,21-401,Transportation Article,No,HISPANIC,M,ROCKVILLE,MD,MD,A - Marked Patrol,"(39.1356816666667, -76.9948783333333)"
8/28/2017,23:13:00,MCP,"6th district, Gaithersburg / Montgomery Village",EXCEEDING POSTED MAXIMUM SPEED LIMIT: 39 MPH IN A POSTED 30 MPH ZONE,LOST KNIFE RD. @ LOST KNIFE CIR,39.15785333,-77.204095,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2003,FORD,EXCURSION,BLUE,Citation,21-801.1,Transportation Article,No,HISPANIC,F,GERMANTOWN,MD,MD,A - Marked Patrol,"(39.1578533333333, -77.204095)"
8/28/2017,22:56:00,MCP,"4th district, Wheaton",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,GEORGIA AVE/PLYERS MILL RD,39.03006167,-77.04812667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2002,HONDA,CIVIC,BLACK,Citation,21-201(a1),Transportation Article,No,WHITE,F,ROCKVILLE,MD,MD,A - Marked Patrol,"(39.0300616666667, -77.0481266666667)"
10/1/2013,6:51:00,MCP,"4th district, Wheaton",FAILURE TO CONTROL VEH. SPEED ON HWY. TO AVOID COLLISION,GEORGIA AVE/HEWITT AVE,,,No,No,Yes,No,No,No,No,No,No,No,XX,19 - Moped,2012,SUNNY,NINGBO,RED,Citation,21-801(b),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,XX,A - Marked Patrol,
8/29/2017,0:27:00,MCP,"3rd district, Silver Spring",DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,NB COLUMBIA PIKE / BRIGGS CHANEY RD,39.08277453,-76.94840312,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2000,FORD,EXPEDITION,TAN,Citation,21-902(a1),Transportation Article,No,BLACK,F,ASPEN HILL,MD,MD,A - Marked Patrol,"(39.0827745274131, -76.9484031200409)"
